Priority,Article Title,URL,Type,Author (Claude),FAQ (Claude),Meta (Claude),Schema (Claude),Images render & placed,Products wired (swap sheet),Video added (URL/NA),Needs fresh copy?,Visual sign-off (initials),Notes (incl. any floating URLs)
,The Best Italian Hair Products And Secrets You Need To Know,/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,SWAP-FRIENDLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,The Exact Products Melanie Grant Uses To Look Flawless,/interviews/founders/the-exact-products-melanie-grant-uses-to-look-flawless,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,"I tried a new DIY micro-infusion device, here’s what I thought…",/beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Adaptive Makeup Tools for Enhanced Accessibility,/beauty-style/beauty-tips/the-makeup-tools-for-people-with-disabilities,CASE BY CASE,Beauticate Editorial,Yes,Written,Auto,,,,,,
,The Top 5 French Hair Secrets From Those in the Know,/beauty-style/beauty-tips/5-french-hair-secrets-for-effortlessly-cool-hair,SWAP-FRIENDLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,"Farrah Fawcett, Actress",/interviews/actors-presenters/farrah-fawcett-actress,LINK ONLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,Olaplex Review: Is It Worth The Hype?,/beauty-style/hair/olaplex-review-is-it-worth-the-hype,LINK ONLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,"Dina Broadhurst, Artist",/interviews/creatives/dina-broadhurst-artist,LINK ONLY,Beauticate Editorial,Yes,Written,Auto,,,,,,
,"Abbey Gelmi, The Sports Reporter Making Her Thirties All About Finding Balance",/interviews/actors-presenters/abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,I’ve Got Fine But Frizzy Hair and This Is Exactly What I Use To Look After It,/beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,LINK ONLY,Tess Schlink,Yes,Written,Auto,,,,,,
,Chic Sunscreens & Sun Hats for Everyday Protection,/beauty-style/skin-care/chic-sunscreens-hats,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Rose-Marie Swift’s 10 Beauty Rules For Older Skin,/beauty-style/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,CASE BY CASE,Zoe Briggs,Yes,Written,Auto,,,,,,
,Three Of The Best Wisteria Scents,/beauty-style/beauty-tips/three-of-the-best-wisteria-scents,SWAP-FRIENDLY,Rosalind Thomas,Yes,Written,Auto,,,,,,
,"Rae Morris on Beauty, Mistakes and a Career Made by Chance",/interviews/creatives/rae-morris-interview,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,The Best Italian Pharmacy Buys (You Can Find Online).,/beauty-style/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,SWAP-FRIENDLY,Claudia De Berardinis,Yes,Written,Auto,,,,,,
,"Alyce Tran, The Entrepreneur Who Will Persuade You To Bring Colour Into Your Home",/interviews/founders/alyce-tran-the-entrepreneur-who-will-persuade-you-to-bring-colour-into-your-home,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Système Bio+ Oil Serum Review: Real Reader Results,/beauty-style/skin-care/systeme-bio-plus-oil-serum-review,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Darren Palmer & Olivier Duvillard,/interviews/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,LINK ONLY,Rikki Hodge-Smith,Yes,Written,Auto,,,,,,
,Grace Kelly,/interviews/actors-presenters/grace-kelly-princess-and-actress,LINK ONLY,Rikki Hodge-Smith,Yes,Written,Auto,,,,,,
,Honest Review: Luxury Skincare Products Worth The Price Tag,/reviews/luxury-skincare-review,LINK ONLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,Cher From Clueless Hair: The Ultimate Cher Horowitz Hair Tutorial,/beauty-style/hair/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,CASE BY CASE,Tess Schlink,Yes,Written,Auto,,,,,,
,"Nathalie Kelley, The Actress Finding Her Purpose Outside of Hollywood",/interviews/actors-presenters/nathalie-kelley-the-actress-finding-her-purpose-outside-of-hollywood,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,I Got an Under-eye Concealer Tattoo!,/beauty-style/beauty-tips/i-got-an-under-eye-concealer-tattoo,CASE BY CASE,Kristina Zhou,Yes,Written,Auto,,,,,,
,"Riley Minford, The Trans Model Owning Her Beauty",/interviews/tastemakers/riley-minford-the-trans-model-owning-her-beauty,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Permanent Cheek Blush Tattoo: Everything You Need To Know,/beauty-style/beauty-tips/cheek-blush-tattoo,CASE BY CASE,Kristina Zhou,Yes,Written,Auto,,,,,,
,Pool Accessories That Changed Our Lives,/living/outdoors/pool-accessories-that-changed-our-lives,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Nightly Beauty Routine,/beauty-style/nightly-beauty-routine,LINK ONLY,Jayde Balderston,Yes,Written,Auto,,,,,,
,Anna Heinrich On Quitting Law And Finding Her Inner Entrepreneur,/interviews/founders/anna-heinrich-on-quitting-law-and-finding-her-inner-entrepreneur,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Hypochlorous Acid Why This Dermal Mist Has Gone Viral,/beauty-style/beauty-tips/hypochlorous-acid-why-this-dermal-mist-has-gone-viral,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,I'm A Hair Bleach Addict - Here's How I Prevent The Damage,/beauty-style/hair/im-a-hair-bleach-addict-heres-how-i-prevent-the-damage,CASE BY CASE,Kristina Zhou,Yes,Written,Auto,,,,,,
,"Jocleyn Petroni, The A-Listers' Facialist Who Is All About Love",/interviews/creatives/who-jocelyn-petroni-beauty-therapist,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,How To Choose The Right Products for your Skin,/beauty-style/beauty-tips/how-to-choose-the-right-products-for-your-skin,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,The Beauty Secrets: Epres vs. Olaplex—What's the Difference?,/beauty-style/beauty-tips/the-beauty-secrets-epres-vs-olaplex-whats-the-difference,SWAP-FRIENDLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,"5 Tips From A Spiritual Hair Advisor (Yep, They Exist)",/beauty-style/hair/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,CASE BY CASE,Catherine Barnes,Yes,Written,Auto,,,,,,
,The Extreme Beauty Standards Flight Attendants Adhere To,/beauty-style/skin-care/the-extreme-beauty-standards-flight-attendants-adhere-to,CASE BY CASE,Kristina Zhou,Yes,Written,Auto,,,,,,
,"Olivia Chantecaille, Born Into Beauty, Now Saving The World",/interviews/founders/olivia-chantecaille-born-into-beauty-now-saving-the-world,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,La Mer The Concentrate Reviews: See what our readers had to say.. is La Mer worth it?,/beauty-style/skin-care/la-mer-the-concentrate-reviews,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Brooke Blurton at Home Interview: Her Journey and Beauty Loves,/interviews/tastemakers/bachelorette-brooke-blurton-on-choosing-real-life-over-picture-perfect,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Elsa Pataky On Falling Utterly In Love With Byron Bay,/interviews/actors-presenters/elsa-pataky-on-falling-utterly-in-love-with-byron-bay,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,How I Stay Fit With Rebecca Judd,/wellness/fitness/how-i-stay-fit-with-rebecca-judd,CASE BY CASE,Beauticate Editorial,Yes,Written,Auto,,,,,,
,"Julia Stone, The Musician All About Making Meaning",/interviews/creatives/julia-stone-the-musician-all-about-making-meaning,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,"David Mallett, Hair Stylist",/interviews/creatives/david-mallet-hair-stylist,LINK ONLY,Emily Algar,Yes,Written,Auto,,,,,,
,Rozalia Russian Interview: The Reality of Parenthood,/interviews/tastemakers/how-fashionista-rozalia-russian-learned-to-be-gentler-with-herself,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Melanie Grant Skincare Routine for Radiant Skin,/interviews/creatives/melanie-grant-skin-specialist,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Masks For Stressed Skin,/beauty-style/skin-care/masks-for-stressed-skin,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Qure Glowcase Review,/beauty-style/skin-care/qure-glowcase-review,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Damaged Hair Repair Tips,/beauty-style/hair/damaged-hair-repair-tips,CASE BY CASE,Kristina Zhou,Yes,Written,Auto,,,,,,
,Red Light Therapy Hair Thinning,/beauty-style/hair/red-light-therapy-hair-thinning,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Lazy Girls Guide Summer Entertaining,/living/lifestyle/lazy-girls-guide-summer-entertaining,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Gucci Westman Makeup Artist,/interviews/creatives/gucci-westman-makeup-artist,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Supermodel Fitness Secrets The Best Personal Trainers For Models,/wellness/fitness/supermodel-fitness-secrets-the-best-personal-trainers-for-models,SWAP-FRIENDLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,How A Beauty Writer Manages Her Rosacea,/beauty-style/skin-care/how-a-beauty-writer-manages-her-rosacea,CASE BY CASE,Zoe Briggs,Yes,Written,Auto,,,,,,
,Jess Blanch Publisher Editor In Chief Russh,/interviews/creatives/jess-blanch-publisher-editor-in-chief-russh,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,8 At Trinity,/living/lifestyle/8-at-trinity,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Pippa Holt A Fashion Insiders Guide To Summer Beauty And Statement Dressing,/interviews/creatives/pippa-holt-a-fashion-insiders-guide-to-summer-beauty-and-statement-dressing,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Louis Vuitton Makeup Australia Review | Beauticate,/beauty-style/makeup/louis-vuitton-makeup-review-australia,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Anastasia Soare On Turning Perfect Brows Into A Global Empire,/interviews/founders/anastasia-soare-on-turning-perfect-brows-into-a-global-empire,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Inside the LA Home of Maison Louis Marie Founder Marie du Petit Thouars,/interviews/creatives/inside-the-la-home-of-maison-louis-marie-founder-marie-du-petit-thouars,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Skull Reshaping? Korean Plastic Surgery and Its Intriguing World,/beauty-style/cosmetic/korean-plastic-surgery,CASE BY CASE,Han Hye Jin,Yes,Written,Auto,,,,,,
,Fragrance,/beauty-style/fragrance,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,5 Father’s Day Fragrance Gifts to Know,/beauty-style/fragrance/fathers-day-fragrance-gifts,SWAP-FRIENDLY,Jayde Balderston,Yes,Written,Auto,,,,,,
,Beauty Secrets From The Happiest Kingdom On Earth,/beauty-style/beauty-tips/beauty-secrets-from-the-happiest-kingdom-on-earth,SWAP-FRIENDLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,How To Get Fuller Brows Using Aloe Vera Seriously,/beauty-style/beauty-tips/how-to-get-fuller-brows-using-aloe-vera-seriously,CASE BY CASE,Maria Pielago,Yes,Written,Auto,,,,,,
,The Blush Lipstick Combinations That Always Give Me Compliments,/beauty-style/beauty-tips/the-blush-lipstick-combinations-that-always-give-me-compliments,CASE BY CASE,Kristina Zhou,Yes,Written,Auto,,,,,,
,Hairstyles For Wet And Windy Days,/beauty-style/hair/hairstyles-for-wet-and-windy-days,CASE BY CASE,Nicola Donovan,Yes,Written,Auto,,,,,,
,Kristin Ess Hair Double Conditioning,/beauty-style/hair/kristin-ess-hair-double-conditioning,CASE BY CASE,Tess Schlink,Yes,Written,Auto,,,,,,
,The Hair Dye For Sensitive Scalps,/beauty-style/hair/the-hair-dye-for-sensitive-scalps,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Are At Home Gel Nail Kits Worth The Investment,/beauty-style/nails/are-at-home-gel-nail-kits-worth-the-investment,CASE BY CASE,Shannon Carley,Yes,Written,Auto,,,,,,
,Filorga The Cult French Pharmacy Brand Making Waves,/beauty-style/skin-care/filorga-the-cult-french-pharmacy-brand-making-waves,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Anna Bamford Actor,/interviews/actors-presenters/anna-bamford-actor,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Isabella Giovinazzo Actress,/interviews/actors-presenters/isabella-giovinazzo-actress,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Jodi Anasta Actress,/interviews/actors-presenters/jodi-anasta-actress,LINK ONLY,Rikki Hodge-Smith,Yes,Written,Auto,,,,,,
,Sophie Falkiner Tv Presenter,/interviews/actors-presenters/sophie-falkiner-tv-presenter,LINK ONLY,Chrisanthi Kaliviotis,Yes,Written,Auto,,,,,,
,Zanna Roberts Rassi The Fashion Darling Re Energising The Beauty Game,/interviews/actors-presenters/zanna-roberts-rassi-the-fashion-darling-re-energising-the-beauty-game,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Amelia Webb On Loving The Career She Never Even Knew She Wanted,/interviews/creatives/amelia-webb-on-loving-the-career-she-never-even-knew-she-wanted,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Kristen Fisher Eyebrow Stylist,/interviews/creatives/kristen-fisher-eyebrow-stylist,LINK ONLY,Rikki Hodge-Smith,Yes,Written,Auto,,,,,,
,Ruby Hammer The Celebrity Makeup Artist Shares The Hard Won Life And Beauty Lessons She Has Learned In Her 50S,/interviews/creatives/ruby-hammer-the-celebrity-makeup-artist-shares-the-hard-won-life-and-beauty-lessons-she-has-learned-in-her-50s,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Maria Thattil Miss Universe Australia On The Importance Of Representation And Great Mascara,/interviews/tastemakers/maria-thattil-miss-universe-australia-on-the-importance-of-representation-and-great-mascara,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Youtube Queen Lauren Curtis Shares Her Experience Growing Up Online,/interviews/tastemakers/youtube-queen-lauren-curtis-shares-her-experience-growing-up-online,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Byredo Hand Cream Review Is It Worth It,/reviews/products/byredo-hand-cream-review-is-it-worth-it,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,